Station,Lat,Lon,Timestamp,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3,AQI,Type
Indore - MG Road,22.718,75.847,2025-11-23 17:00:00,354.18,0.0,6.49,66.81,4.31,89.99,99.76,8.85,5,Historical
Indore - MG Road,22.718,75.847,2025-11-23 18:00:00,356.04,0.0,6.05,61.95,3.3,89.99,99.41,7.97,5,Historical
Indore - MG Road,22.718,75.847,2025-11-23 19:00:00,347.31,0.0,5.36,59.3,2.53,89.24,97.77,6.88,5,Historical
Indore - MG Road,22.718,75.847,2025-11-23 20:00:00,343.63,0.0,4.76,57.32,2.09,89.12,97.17,6.1,5,Historical
Indore - MG Road,22.718,75.847,2025-11-23 21:00:00,343.0,0.0,4.29,54.61,1.73,89.29,97.07,5.49,5,Historical
Indore - MG Road,22.718,75.847,2025-11-23 22:00:00,342.75,0.0,3.94,51.43,1.45,89.54,97.14,5.05,5,Historical
Indore - MG Road,22.718,75.847,2025-11-23 23:00:00,345.95,0.0,3.76,48.02,1.27,90.25,97.85,5.03,5,Historical
Indore - MG Road,22.718,75.847,2025-11-24 00:00:00,351.89,0.0,3.85,44.09,1.16,90.93,98.7,5.33,5,Historical
Indore - MG Road,22.718,75.847,2025-11-24 01:00:00,365.05,0.0,4.41,39.44,1.2,91.31,99.57,5.53,5,Historical
Indore - MG Road,22.718,75.847,2025-11-24 02:00:00,390.19,0.01,5.79,34.66,1.4,92.44,101.71,5.44,5,Historical
Indore - MG Road,22.718,75.847,2025-11-24 03:00:00,409.15,0.33,6.74,34.09,1.63,93.49,103.3,5.38,5,Historical
Indore - MG Road,22.718,75.847,2025-11-24 04:00:00,346.91,0.47,4.47,60.82,3.09,93.1,100.59,2.65,5,Historical
Indore - MG Road,22.718,75.847,2025-11-24 05:00:00,335.59,0.57,3.98,69.37,3.72,93.38,100.64,2.04,5,Historical
Indore - MG Road,22.718,75.847,2025-11-24 06:00:00,320.65,0.46,3.38,82.31,4.86,95.3,102.21,1.62,5,Historical
Indore - MG Road,22.718,75.847,2025-11-24 07:00:00,252.26,0.2,2.14,117.11,7.84,78.13,82.49,0.0,5,Historical
Indore - MG Road,22.718,75.847,2025-11-24 08:00:00,237.09,0.11,1.35,120.93,5.73,63.67,66.9,0.0,4,Historical
Indore - MG Road,22.718,75.847,2025-11-24 09:00:00,234.54,0.09,1.24,120.28,4.87,57.53,60.41,0.0,4,Historical
Indore - MG Road,22.718,75.847,2025-11-24 10:00:00,247.85,0.11,2.08,114.73,4.49,58.71,61.95,0.2,4,Historical
Indore - MG Road,22.718,75.847,2025-11-24 11:00:00,272.03,0.09,3.89,103.77,4.17,62.13,66.19,1.84,4,Historical
Indore - MG Road,22.718,75.847,2025-11-24 12:00:00,298.45,0.02,5.99,93.85,3.89,64.23,69.06,3.52,4,Historical
Indore - MG Road,22.718,75.847,2025-11-24 13:00:00,327.43,0.0,7.59,84.83,3.65,65.66,71.56,5.23,4,Historical
