City,Latitude,Longitude,Timestamp,Temperature (°C),Humidity (%),Pressure (hPa),Wind Speed (m/s),Wind Direction (°),Cloudiness (%),Visibility (m),Source
Indore,22.7196,75.8577,2025-11-22 00:00:00,16.2,75,1016.8,5.2,94,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-22 01:00:00,15.9,77,1017.2,5.7,101,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-22 02:00:00,16.3,74,1017.9,8.0,80,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-22 03:00:00,19.0,62,1018.5,6.2,60,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-22 04:00:00,22.4,49,1019.0,4.7,72,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-22 05:00:00,24.8,40,1018.5,4.9,100,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-22 06:00:00,25.9,34,1017.6,3.5,111,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-22 07:00:00,27.5,30,1016.6,1.9,139,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-22 08:00:00,28.2,28,1015.4,1.8,186,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-22 09:00:00,28.4,27,1014.5,1.8,225,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-22 10:00:00,28.2,27,1014.0,1.9,236,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-22 11:00:00,27.7,28,1014.1,2.5,240,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-22 12:00:00,25.8,43,1014.3,1.4,247,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-22 13:00:00,23.8,43,1014.7,1.4,23,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-22 14:00:00,22.9,47,1015.6,1.3,56,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-22 15:00:00,22.2,51,1016.1,0.0,270,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-22 16:00:00,21.1,47,1016.3,4.7,353,2,,Open-Meteo
Indore,22.7196,75.8577,2025-11-22 17:00:00,19.8,51,1016.6,7.8,32,1,,Open-Meteo
Indore,22.7196,75.8577,2025-11-22 18:00:00,19.3,55,1016.6,8.9,63,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-22 19:00:00,18.8,57,1016.4,8.3,74,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-22 20:00:00,18.6,58,1016.2,7.6,83,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-22 21:00:00,18.2,60,1015.6,6.7,82,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-22 22:00:00,17.7,62,1015.6,6.3,83,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-22 23:00:00,17.3,64,1015.8,6.5,84,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 00:00:00,16.8,68,1016.0,6.8,92,8,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 01:00:00,16.6,70,1017.0,6.9,84,9,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 02:00:00,16.9,69,1017.6,8.6,67,88,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 03:00:00,19.4,61,1018.0,6.3,59,100,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 04:00:00,22.7,51,1018.4,5.1,73,99,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 05:00:00,25.4,41,1017.9,6.0,87,98,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 06:00:00,26.5,40,1017.1,4.8,117,100,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 07:00:00,27.3,40,1016.2,3.1,140,100,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 08:00:00,28.2,40,1014.9,4.7,223,99,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 09:00:00,28.7,38,1013.8,6.6,237,95,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 10:00:00,28.5,37,1013.3,5.2,250,100,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 11:00:00,28.0,39,1013.2,3.2,254,17,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 12:00:00,26.7,41,1013.9,1.7,77,9,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 13:00:00,25.0,46,1014.6,4.0,98,23,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 14:00:00,23.9,52,1015.3,3.1,90,63,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 15:00:00,23.3,54,1015.8,4.8,65,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 16:00:00,22.0,59,1016.0,7.4,56,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 17:00:00,21.1,62,1016.3,8.3,66,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 18:00:00,20.6,64,1016.2,9.6,85,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 19:00:00,19.9,66,1016.1,8.8,101,3,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 20:00:00,19.6,67,1016.1,8.4,100,2,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 21:00:00,19.4,68,1015.7,8.3,96,13,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 22:00:00,19.0,69,1015.7,8.3,85,5,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 23:00:00,18.7,69,1015.9,8.5,77,31,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 00:00:00,18.4,70,1016.2,9.0,80,91,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 01:00:00,18.0,72,1016.9,8.7,83,7,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 02:00:00,18.3,72,1017.7,9.1,76,13,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 03:00:00,20.4,64,1018.2,6.9,67,9,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 04:00:00,23.4,53,1018.4,6.7,81,5,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 05:00:00,25.9,47,1017.9,7.9,102,5,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 06:00:00,26.9,48,1017.1,5.8,158,45,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 07:00:00,27.6,46,1016.1,5.6,211,25,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 08:00:00,28.1,44,1015.1,6.2,226,26,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 09:00:00,28.0,44,1014.3,6.2,240,27,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 10:00:00,27.8,44,1014.3,6.2,262,25,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 11:00:00,27.2,46,1014.3,5.2,282,16,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 12:00:00,26.1,51,1014.8,3.4,313,21,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 13:00:00,25.2,57,1015.4,3.8,3,27,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 14:00:00,24.0,63,1016.1,3.3,36,17,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 15:00:00,23.3,65,1016.8,3.7,35,26,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 16:00:00,22.6,68,1017.2,4.3,62,7,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 17:00:00,21.8,71,1017.5,5.6,88,16,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 18:00:00,20.8,76,1017.7,7.8,99,10,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 19:00:00,20.4,77,1017.6,7.7,99,17,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 20:00:00,20.0,78,1017.3,6.6,107,62,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 21:00:00,19.8,77,1016.7,7.4,86,100,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 22:00:00,19.5,78,1016.6,6.9,83,84,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 23:00:00,19.0,80,1016.6,7.2,72,35,,Open-Meteo
Indore,22.7196,75.8577,2025-11-25 00:00:00,19.0,80,1016.9,7.3,59,40,,Open-Meteo
Indore,22.7196,75.8577,2025-11-25 01:00:00,19.0,79,1017.4,8.2,76,98,,Open-Meteo
Indore,22.7196,75.8577,2025-11-25 02:00:00,19.7,75,1017.9,7.9,79,50,,Open-Meteo
Indore,22.7196,75.8577,2025-11-25 03:00:00,20.8,71,1018.4,6.4,68,29,,Open-Meteo
Indore,22.7196,75.8577,2025-11-25 04:00:00,22.6,64,1019.0,6.1,67,55,,Open-Meteo
Indore,22.7196,75.8577,2025-11-25 05:00:00,24.5,58,1018.6,6.5,96,49,,Open-Meteo
Indore,22.7196,75.8577,2025-11-25 06:00:00,26.1,53,1017.2,6.0,164,38,,Open-Meteo
Indore,22.7196,75.8577,2025-11-25 07:00:00,27.2,49,1016.1,7.4,184,49,,Open-Meteo
Indore,22.7196,75.8577,2025-11-25 08:00:00,27.6,46,1014.9,5.8,206,34,,Open-Meteo
Indore,22.7196,75.8577,2025-11-25 09:00:00,27.7,45,1014.1,4.8,233,43,,Open-Meteo
Indore,22.7196,75.8577,2025-11-25 10:00:00,27.2,47,1014.1,4.2,306,35,,Open-Meteo
Indore,22.7196,75.8577,2025-11-25 11:00:00,25.9,52,1014.0,5.4,356,59,,Open-Meteo
Indore,22.7196,75.8577,2025-11-25 12:00:00,25.1,57,1014.3,7.0,10,29,,Open-Meteo
Indore,22.7196,75.8577,2025-11-25 13:00:00,23.8,62,1015.2,9.1,25,39,,Open-Meteo
Indore,22.7196,75.8577,2025-11-25 14:00:00,22.9,67,1015.9,9.2,35,29,,Open-Meteo
Indore,22.7196,75.8577,2025-11-25 15:00:00,21.7,73,1016.7,10.1,24,8,,Open-Meteo
Indore,22.7196,75.8577,2025-11-25 16:00:00,21.0,77,1016.4,9.8,50,2,,Open-Meteo
Indore,22.7196,75.8577,2025-11-25 17:00:00,20.5,78,1016.3,9.7,72,2,,Open-Meteo
Indore,22.7196,75.8577,2025-11-25 18:00:00,19.7,79,1016.4,9.6,77,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-25 19:00:00,19.1,81,1016.1,8.8,88,2,,Open-Meteo
Indore,22.7196,75.8577,2025-11-25 20:00:00,18.9,81,1015.7,9.2,96,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-25 21:00:00,18.8,80,1015.3,9.4,103,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-25 22:00:00,18.6,79,1015.2,9.2,101,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-25 23:00:00,18.4,77,1015.2,8.6,106,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-26 00:00:00,18.7,74,1015.4,9.0,116,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-26 01:00:00,18.6,73,1016.2,8.1,111,2,,Open-Meteo
Indore,22.7196,75.8577,2025-11-26 02:00:00,19.0,72,1017.1,8.5,114,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-26 03:00:00,21.4,63,1017.8,6.4,117,5,,Open-Meteo
Indore,22.7196,75.8577,2025-11-26 04:00:00,24.2,55,1018.0,8.8,131,5,,Open-Meteo
Indore,22.7196,75.8577,2025-11-26 05:00:00,26.1,49,1017.7,10.7,147,7,,Open-Meteo
Indore,22.7196,75.8577,2025-11-26 06:00:00,27.2,46,1016.9,10.8,169,15,,Open-Meteo
Indore,22.7196,75.8577,2025-11-26 07:00:00,27.9,43,1015.9,8.5,179,19,,Open-Meteo
Indore,22.7196,75.8577,2025-11-26 08:00:00,28.1,42,1015.1,6.5,186,21,,Open-Meteo
Indore,22.7196,75.8577,2025-11-26 09:00:00,28.4,42,1014.4,5.2,186,9,,Open-Meteo
Indore,22.7196,75.8577,2025-11-26 10:00:00,28.2,41,1014.3,3.5,195,48,,Open-Meteo
Indore,22.7196,75.8577,2025-11-26 11:00:00,27.8,42,1014.5,2.2,145,20,,Open-Meteo
Indore,22.7196,75.8577,2025-11-26 12:00:00,26.8,45,1015.2,4.0,111,28,,Open-Meteo
Indore,22.7196,75.8577,2025-11-26 13:00:00,25.6,49,1015.8,5.0,109,45,,Open-Meteo
Indore,22.7196,75.8577,2025-11-26 14:00:00,25.0,52,1016.6,5.3,114,87,,Open-Meteo
Indore,22.7196,75.8577,2025-11-26 15:00:00,24.3,56,1017.1,6.0,93,71,,Open-Meteo
Indore,22.7196,75.8577,2025-11-26 16:00:00,23.5,59,1017.5,8.1,102,21,,Open-Meteo
Indore,22.7196,75.8577,2025-11-26 17:00:00,22.7,63,1017.7,7.7,121,34,,Open-Meteo
Indore,22.7196,75.8577,2025-11-26 18:00:00,22.3,65,1017.8,9.7,125,42,,Open-Meteo
Indore,22.7196,75.8577,2025-11-26 19:00:00,21.7,68,1017.7,10.3,123,17,,Open-Meteo
Indore,22.7196,75.8577,2025-11-26 20:00:00,20.9,71,1017.5,10.2,113,36,,Open-Meteo
Indore,22.7196,75.8577,2025-11-26 21:00:00,20.3,73,1016.7,10.0,108,4,,Open-Meteo
Indore,22.7196,75.8577,2025-11-26 22:00:00,20.0,72,1016.5,9.2,107,5,,Open-Meteo
Indore,22.7196,75.8577,2025-11-26 23:00:00,19.7,72,1016.4,9.2,107,4,,Open-Meteo
Indore,22.7196,75.8577,2025-11-27 00:00:00,19.4,72,1016.8,9.4,107,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-27 01:00:00,19.2,72,1017.6,8.3,101,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-27 02:00:00,19.5,70,1018.4,8.3,96,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-27 03:00:00,21.6,63,1018.9,6.0,100,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-27 04:00:00,24.5,55,1019.2,6.1,118,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-27 05:00:00,26.5,48,1019.0,7.4,139,1,,Open-Meteo
Indore,22.7196,75.8577,2025-11-27 06:00:00,27.6,44,1018.0,6.6,135,27,,Open-Meteo
Indore,22.7196,75.8577,2025-11-27 07:00:00,28.0,42,1016.9,5.9,117,29,,Open-Meteo
Indore,22.7196,75.8577,2025-11-27 08:00:00,28.3,41,1015.7,5.3,114,30,,Open-Meteo
