station,lat,lon,timestamp,co,no,no2,o3,so2,pm2_5,pm10,nh3,aqi,type,source
Indore - MG Road,22.718,75.847,2025-11-27 10:18:45,260.85,0.1,1.99,144.43,14.09,115.62,121.59,0,5,Live,aqi_live
Indore - Vijay Nagar,22.735,75.88,2025-11-27 10:18:45,260.85,0.1,1.99,144.43,14.09,115.62,121.59,0,5,Live,aqi_live
Indore - AB Road,22.726,75.889,2025-11-27 10:18:45,260.85,0.1,1.99,144.43,14.09,115.62,121.59,0,5,Live,aqi_live
Indore - Rau,22.74,75.83,2025-11-27 10:18:45,260.85,0.1,1.99,144.43,14.09,115.62,121.59,0,5,Live,aqi_live
Indore - Palasia,22.72,75.88,2025-11-27 10:18:45,260.85,0.1,1.99,144.43,14.09,115.62,121.59,0,5,Live,aqi_live
Indore - Rajwada,22.7196,75.855,2025-11-27 10:18:45,260.85,0.1,1.99,144.43,14.09,115.62,121.59,0,5,Live,aqi_live
Indore - Airport Road,22.72,75.8,2025-11-27 10:18:45,260.85,0.1,1.99,144.43,14.09,115.62,121.59,0,5,Live,aqi_live
Indore - Bhawarkua,22.72,75.84,2025-11-27 10:18:45,260.85,0.1,1.99,144.43,14.09,115.62,121.59,0,5,Live,aqi_live
Indore - Annapurna,22.7,75.86,2025-11-27 10:18:45,260.85,0.1,1.99,144.43,14.09,115.62,121.59,0,5,Live,aqi_live
Indore - Sanwer Road Industrial,22.79,75.84,2025-11-27 10:18:45,260.85,0.1,1.99,144.43,14.09,115.62,121.59,0,5,Live,aqi_live
Indore - Ring Road,22.74,75.88,2025-11-27 10:18:45,260.85,0.1,1.99,144.43,14.09,115.62,121.59,0,5,Live,aqi_live
Indore - CAT Road,22.78,75.86,2025-11-27 10:18:45,260.85,0.1,1.99,144.43,14.09,115.62,121.59,0,5,Live,aqi_live
Indore - Mhow Naka,22.69,75.87,2025-11-27 10:18:45,260.85,0.1,1.99,144.43,14.09,115.62,121.59,0,5,Live,aqi_live
Bhopal - MP Nagar,23.238,77.4125,2025-11-27 10:18:45,299.03,0.06,1.45,142.59,12.61,146.57,154.91,0,5,Live,aqi_live
Bhopal - Habibganj,23.26,77.398,2025-11-27 10:18:45,299.03,0.06,1.45,142.59,12.61,146.57,154.91,0,5,Live,aqi_live
