Station,Lat,Lon,Timestamp,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3,AQI,Type,source_file
Indore - MG Road,22.718,75.847,2025-11-22 05:00:00,420.24,0.64,3.89,85.23,8.53,122.98,133.69,5.2,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-22 06:00:00,413.21,0.46,2.92,99.65,8.67,127.34,137.79,4.77,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-22 07:00:00,285.38,0.22,1.99,156.38,24.74,119.41,128.1,0.0,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-22 08:00:00,252.19,0.16,1.59,165.93,23.67,114.0,121.68,0.0,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-22 09:00:00,239.96,0.12,1.47,166.38,20.99,110.0,117.0,0.0,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-22 10:00:00,246.06,0.13,2.12,158.61,18.39,110.8,117.76,0.0,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-22 11:00:00,263.97,0.12,3.57,144.19,15.78,114.09,121.5,0.02,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-22 12:00:00,284.95,0.03,5.51,131.89,14.21,115.8,123.79,1.28,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-22 13:00:00,308.9,0.0,6.77,120.43,12.96,116.17,124.91,3.57,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-22 14:00:00,332.74,0.0,7.22,108.83,10.99,117.62,127.28,5.34,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-22 15:00:00,352.01,0.0,7.04,99.68,9.12,119.29,129.69,6.28,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-22 16:00:00,358.06,0.0,6.42,92.31,7.81,118.68,129.28,6.7,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-22 17:00:00,364.03,0.0,5.9,88.43,7.4,118.96,129.77,7.29,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-22 18:00:00,363.55,0.0,5.38,86.52,7.19,119.43,130.0,7.78,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-22 19:00:00,354.36,0.0,4.68,84.85,6.93,119.36,129.28,8.24,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-22 20:00:00,349.78,0.0,4.01,83.14,6.75,119.32,128.89,9.0,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-22 21:00:00,347.57,0.0,3.49,81.65,6.65,119.23,128.62,10.01,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-22 22:00:00,347.0,0.0,3.12,80.51,6.67,119.41,128.71,11.27,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-22 23:00:00,348.07,0.0,2.88,80.38,6.96,120.58,129.87,12.93,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-23 00:00:00,351.53,0.0,2.83,80.99,7.47,123.28,132.62,14.63,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-23 01:00:00,356.92,0.0,3.17,79.5,7.68,123.97,133.52,15.59,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-23 02:00:00,374.17,0.0,4.24,73.63,6.86,124.34,134.55,14.39,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-23 03:00:00,392.42,0.15,5.46,69.46,6.02,122.91,133.55,12.63,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-23 04:00:00,362.99,0.29,4.58,86.13,7.65,114.29,123.73,7.54,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-23 05:00:00,356.9,0.39,4.04,89.07,7.08,107.69,116.78,6.62,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-23 06:00:00,351.88,0.37,3.28,94.56,6.62,107.16,115.89,5.21,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-23 07:00:00,249.94,0.05,2.54,132.94,13.99,93.73,99.93,0.05,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-23 08:00:00,231.9,0.02,2.25,132.37,12.14,83.21,88.33,0.0,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-23 09:00:00,230.31,0.02,2.22,129.22,10.63,77.97,82.67,0.0,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-23 10:00:00,237.29,0.03,2.52,123.83,9.58,78.39,83.19,0.09,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-23 11:00:00,247.69,0.04,3.23,115.09,8.59,80.86,86.08,0.82,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-23 12:00:00,260.12,0.01,4.11,107.54,7.71,82.93,88.6,1.83,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-23 13:00:00,279.28,0.0,5.29,97.21,6.64,84.65,91.1,3.7,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-23 14:00:00,307.64,0.0,6.42,86.62,5.78,87.03,94.75,5.96,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-23 15:00:00,332.82,0.0,6.92,79.14,5.47,89.23,98.11,7.98,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-23 16:00:00,345.22,0.0,6.8,73.03,5.19,89.41,98.94,9.15,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-23 17:00:00,354.18,0.0,6.49,66.81,4.31,89.99,99.76,8.85,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-23 18:00:00,356.04,0.0,6.05,61.95,3.3,89.99,99.41,7.97,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-23 19:00:00,347.31,0.0,5.36,59.3,2.53,89.24,97.77,6.88,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-23 20:00:00,343.63,0.0,4.76,57.32,2.09,89.12,97.17,6.1,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-23 21:00:00,343.0,0.0,4.29,54.61,1.73,89.29,97.07,5.49,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-23 22:00:00,342.75,0.0,3.94,51.43,1.45,89.54,97.14,5.05,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-23 23:00:00,345.95,0.0,3.76,48.02,1.27,90.25,97.85,5.03,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-24 00:00:00,351.89,0.0,3.85,44.09,1.16,90.93,98.7,5.33,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-24 01:00:00,365.05,0.0,4.41,39.44,1.2,91.31,99.57,5.53,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-24 02:00:00,390.2,0.01,5.79,34.66,1.4,92.44,101.71,5.44,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-24 03:00:00,409.15,0.33,6.74,34.09,1.63,93.49,103.3,5.38,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-24 04:00:00,346.91,0.47,4.47,60.82,3.09,93.1,100.59,2.65,5,Historical,aqi_historical_data.csv
Indore - MG Road,22.718,75.847,2025-11-24 05:00:00,335.59,0.57,3.98,69.37,3.72,93.38,100.64,2.04,5,Historical,aqi_historical_data.csv
