city,latitude,longitude,timestamp,currentspeed,freeflowspeed,currenttraveltime,freeflowtraveltime,confidence,roadclosure,source
Indore,22.7196,75.8577,2025-11-27 16:19:31.004669,1970-01-01 00:00:00.000000014,21,1970-01-01 00:00:00.000000207,1970-01-01 00:00:00.000000138,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:19:32.007508,1970-01-01 00:00:00.000000034,44,1970-01-01 00:00:00.000001016,1970-01-01 00:00:00.000000785,0.95851,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:19:32.981915,1970-01-01 00:00:00.000000027,27,1970-01-01 00:00:00.000000283,1970-01-01 00:00:00.000000283,1.0,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:19:33.917658,1970-01-01 00:00:00.000000017,22,1970-01-01 00:00:00.000000578,1970-01-01 00:00:00.000000447,0.826786,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:20:06.196976,1970-01-01 00:00:00.000000014,21,1970-01-01 00:00:00.000000207,1970-01-01 00:00:00.000000138,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:20:08.350007,1970-01-01 00:00:00.000000034,44,1970-01-01 00:00:00.000001016,1970-01-01 00:00:00.000000785,0.95851,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:20:09.716812,1970-01-01 00:00:00.000000027,27,1970-01-01 00:00:00.000000283,1970-01-01 00:00:00.000000283,1.0,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:20:11.001978,1970-01-01 00:00:00.000000017,22,1970-01-01 00:00:00.000000578,1970-01-01 00:00:00.000000447,0.820823,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:20:42.542321,1970-01-01 00:00:00.000000014,22,1970-01-01 00:00:00.000000207,1970-01-01 00:00:00.000000131,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:20:43.789220,1970-01-01 00:00:00.000000034,44,1970-01-01 00:00:00.000001016,1970-01-01 00:00:00.000000785,0.956897,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:20:44.977905,1970-01-01 00:00:00.000000022,27,1970-01-01 00:00:00.000000347,1970-01-01 00:00:00.000000283,0.81,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:20:46.262131,1970-01-01 00:00:00.000000017,22,1970-01-01 00:00:00.000000578,1970-01-01 00:00:00.000000447,0.820823,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:21:17.603854,1970-01-01 00:00:00.000000013,21,1970-01-01 00:00:00.000000222,1970-01-01 00:00:00.000000138,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:21:18.832403,1970-01-01 00:00:00.000000034,44,1970-01-01 00:00:00.000001016,1970-01-01 00:00:00.000000785,0.957972,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:21:20.130750,1970-01-01 00:00:00.000000022,27,1970-01-01 00:00:00.000000347,1970-01-01 00:00:00.000000283,0.8,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:21:21.355958,1970-01-01 00:00:00.000000017,22,1970-01-01 00:00:00.000000578,1970-01-01 00:00:00.000000447,0.814861,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:21:52.796215,1970-01-01 00:00:00.000000014,22,1970-01-01 00:00:00.000000207,1970-01-01 00:00:00.000000131,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:21:54.082515,1970-01-01 00:00:00.000000034,44,1970-01-01 00:00:00.000001016,1970-01-01 00:00:00.000000785,0.957971,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:21:55.333886,1970-01-01 00:00:00.000000022,27,1970-01-01 00:00:00.000000347,1970-01-01 00:00:00.000000283,0.8,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:21:56.534673,1970-01-01 00:00:00.000000016,22,1970-01-01 00:00:00.000000614,1970-01-01 00:00:00.000000447,0.800319,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:22:27.942726,1970-01-01 00:00:00.000000014,21,1970-01-01 00:00:00.000000207,1970-01-01 00:00:00.000000138,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:22:29.149741,1970-01-01 00:00:00.000000034,43,1970-01-01 00:00:00.000001016,1970-01-01 00:00:00.000000804,0.95864,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:22:30.338055,1970-01-01 00:00:00.000000022,27,1970-01-01 00:00:00.000000347,1970-01-01 00:00:00.000000283,0.8,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:22:31.602204,1970-01-01 00:00:00.000000017,22,1970-01-01 00:00:00.000000578,1970-01-01 00:00:00.000000447,0.758864,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:23:02.984566,1970-01-01 00:00:00.000000013,21,1970-01-01 00:00:00.000000222,1970-01-01 00:00:00.000000138,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:23:03.969993,1970-01-01 00:00:00.000000034,43,1970-01-01 00:00:00.000001016,1970-01-01 00:00:00.000000804,0.959179,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:23:04.938599,1970-01-01 00:00:00.000000022,27,1970-01-01 00:00:00.000000347,1970-01-01 00:00:00.000000283,0.81,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:23:05.919048,1970-01-01 00:00:00.000000017,22,1970-01-01 00:00:00.000000578,1970-01-01 00:00:00.000000447,0.758864,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:23:37.255631,1970-01-01 00:00:00.000000013,22,1970-01-01 00:00:00.000000222,1970-01-01 00:00:00.000000131,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:23:38.406229,1970-01-01 00:00:00.000000034,43,1970-01-01 00:00:00.000001016,1970-01-01 00:00:00.000000804,0.953908,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:23:39.595571,1970-01-01 00:00:00.000000021,26,1970-01-01 00:00:00.000000364,1970-01-01 00:00:00.000000294,0.81,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:23:40.817264,1970-01-01 00:00:00.000000017,22,1970-01-01 00:00:00.000000578,1970-01-01 00:00:00.000000447,0.758864,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:24:11.914034,1970-01-01 00:00:00.000000016,22,1970-01-01 00:00:00.000000181,1970-01-01 00:00:00.000000131,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:24:12.872125,1970-01-01 00:00:00.000000034,43,1970-01-01 00:00:00.000001016,1970-01-01 00:00:00.000000804,0.953908,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:24:13.839388,1970-01-01 00:00:00.000000021,26,1970-01-01 00:00:00.000000364,1970-01-01 00:00:00.000000294,0.81,False,traffic_live
