city,latitude,longitude,timestamp,temperature_(°c),humidity_(%),pressure_(hpa),wind_speed_(m/s),wind_direction_(°),cloudiness_(%),visibility_(m),source
Ujjain,23.1765,75.7885,2025-11-27 11:11:49,26.29,46,1015,2.01,95,64,10000,OpenWeather
Indore,22.7196,75.8577,2025-11-27 11:13:59,26.09,57,1015,2.57,70,40,4000,OpenWeather
Bhopal,23.2599,77.4126,2025-11-27 11:16:53,25.18,44,1015,1.03,30,0,3000,OpenWeather
Dewas,22.9676,76.0534,2025-11-27 11:20:28,26.35,46,1015,2.35,127,55,10000,OpenWeather
Ujjain,23.1765,75.7885,2025-11-27 11:22:27,26.29,46,1015,2.01,95,64,10000,OpenWeather
Indore,22.7196,75.8577,2025-11-27 11:24:27,26.09,57,1015,1.54,100,40,4000,OpenWeather
Bhopal,23.2599,77.4126,2025-11-27 11:31:00,25.18,44,1016,1.03,30,0,3000,OpenWeather
Dewas,22.9676,76.0534,2025-11-27 11:31:28,25.27,49,1015,2.49,122,61,10000,OpenWeather
Ujjain,23.1765,75.7885,2025-11-27 11:33:27,25.92,45,1015,2.08,96,70,10000,OpenWeather
Bhopal,23.2599,77.4126,2025-11-27 11:34:16,25.18,44,1016,1.03,30,0,3000,OpenWeather
Indore,22.7196,75.8577,2025-11-27 11:35:27,26.09,57,1015,1.54,100,40,4000,OpenWeather
Ujjain,23.1765,75.7885,2025-11-27 11:37:14,25.92,45,1015,2.08,96,70,10000,OpenWeather
Dewas,22.9676,76.0534,2025-11-27 11:38:28,25.27,49,1015,2.49,122,61,10000,OpenWeather
Bhopal,23.2599,77.4126,2025-11-27 11:44:23,24.18,43,1016,2.57,360,0,3000,OpenWeather
Indore,22.7196,75.8577,2025-11-27 11:45:55,26.09,57,1015,1.54,100,20,4000,OpenWeather
Ujjain,23.1765,75.7885,2025-11-27 11:47:28,25.92,45,1015,2.08,96,70,10000,OpenWeather
Dewas,22.9676,76.0534,2025-11-27 11:49:28,25.27,49,1015,2.49,122,61,10000,OpenWeather
