city,latitude,longitude,timestamp,currentSpeed,currentFlow,vehicleCount,linkId,Source
Indore,22.7196,75.8577,2025-12-11 23:46:09.464275,22,,,,
Dewas,22.9676,76.0534,2025-12-11 23:46:10.226118,43,,,,
Ujjain,23.1765,75.7885,2025-12-11 23:46:10.966856,27,,,,
Bhopal,23.2599,77.4126,2025-12-11 23:46:11.638721,22,,,,
Indore,22.7196,75.8577,2025-12-11 23:47:12.403270,22,,,,
Dewas,22.9676,76.0534,2025-12-11 23:47:13.066716,43,,,,
Ujjain,23.1765,75.7885,2025-12-11 23:47:13.668584,27,,,,
Bhopal,23.2599,77.4126,2025-12-11 23:47:14.271994,22,,,,
Indore,22.7196,75.8577,2025-12-11 23:48:15.111855,22,,,,
Dewas,22.9676,76.0534,2025-12-11 23:48:15.719362,43,,,,
Ujjain,23.1765,75.7885,2025-12-11 23:48:16.332650,27,,,,
Bhopal,23.2599,77.4126,2025-12-11 23:48:17.007665,22,,,,
Indore,22.7196,75.8577,2025-12-11 23:49:17.851567,22,,,,
Dewas,22.9676,76.0534,2025-12-11 23:49:18.516858,43,,,,
Ujjain,23.1765,75.7885,2025-12-11 23:49:19.208073,27,,,,
Bhopal,23.2599,77.4126,2025-12-11 23:49:19.901153,22,,,,
Indore,22.7196,75.8577,2025-12-11 23:50:21.001527,22,,,,
Dewas,22.9676,76.0534,2025-12-11 23:50:21.663310,43,,,,
Ujjain,23.1765,75.7885,2025-12-11 23:50:22.324962,27,,,,
Bhopal,23.2599,77.4126,2025-12-11 23:50:23.010446,22,,,,
Indore,22.7196,75.8577,2025-12-11 23:51:24.021757,22,,,,
Dewas,22.9676,76.0534,2025-12-11 23:51:24.697783,43,,,,
Ujjain,23.1765,75.7885,2025-12-11 23:51:25.341610,27,,,,
Bhopal,23.2599,77.4126,2025-12-11 23:51:26.042061,22,,,,
Indore,22.7196,75.8577,2025-12-11 23:52:26.854805,22,,,,
Dewas,22.9676,76.0534,2025-12-11 23:52:27.543990,43,,,,
Ujjain,23.1765,75.7885,2025-12-11 23:52:28.294148,27,,,,
Bhopal,23.2599,77.4126,2025-12-11 23:52:28.959833,22,,,,
Indore,22.7196,75.8577,2025-12-11 23:53:29.848721,22,,,,
Dewas,22.9676,76.0534,2025-12-11 23:53:30.476094,43,,,,
Ujjain,23.1765,75.7885,2025-12-11 23:53:31.095582,27,,,,
Bhopal,23.2599,77.4126,2025-12-11 23:53:31.821797,22,,,,
Indore,22.7196,75.8577,2025-12-11 23:54:32.649721,22,,,,
Dewas,22.9676,76.0534,2025-12-11 23:54:33.349255,43,,,,
Ujjain,23.1765,75.7885,2025-12-11 23:54:34.030455,27,,,,
Bhopal,23.2599,77.4126,2025-12-11 23:54:34.688558,22,,,,
Indore,22.7196,75.8577,2025-12-11 23:55:35.489197,22,,,,
Dewas,22.9676,76.0534,2025-12-11 23:55:36.084882,43,,,,
Ujjain,23.1765,75.7885,2025-12-11 23:55:36.723583,27,,,,
Bhopal,23.2599,77.4126,2025-12-11 23:55:37.331995,22,,,,
