City,Latitude,Longitude,Timestamp,AQI,PM25,PM10,CO,NO2,SO2,Ozone,Source
Indore - MG Road,22.718,75.847,2025-11-28 21:46:04,4,58.48,62.81,293.8,1.92,3.62,94.03,Live
Indore - Vijay Nagar,22.735,75.88,2025-11-28 21:46:04,4,58.48,62.81,293.8,1.92,3.62,94.03,Live
Indore - AB Road,22.726,75.889,2025-11-28 21:46:04,4,58.48,62.81,293.8,1.92,3.62,94.03,Live
Indore - Rau,22.74,75.83,2025-11-28 21:46:04,4,58.48,62.81,293.8,1.92,3.62,94.03,Live
Indore - Palasia,22.72,75.88,2025-11-28 21:46:04,4,58.48,62.81,293.8,1.92,3.62,94.03,Live
Indore - Rajwada,22.7196,75.855,2025-11-28 21:46:04,4,58.48,62.81,293.8,1.92,3.62,94.03,Live
Indore - Airport Road,22.72,75.8,2025-11-28 21:46:04,4,58.48,62.81,293.8,1.92,3.62,94.03,Live
Indore - Bhawarkua,22.72,75.84,2025-11-28 21:46:04,4,58.48,62.81,293.8,1.92,3.62,94.03,Live
Indore - Annapurna,22.7,75.86,2025-11-28 21:46:04,4,58.48,62.81,293.8,1.92,3.62,94.03,Live
Indore - Sanwer Road Industrial,22.79,75.84,2025-11-28 21:46:04,4,58.48,62.81,293.8,1.92,3.62,94.03,Live
Indore - Ring Road,22.74,75.88,2025-11-28 21:46:04,4,58.48,62.81,293.8,1.92,3.62,94.03,Live
Indore - CAT Road,22.78,75.86,2025-11-28 21:46:04,4,58.48,62.81,293.8,1.92,3.62,94.03,Live
Indore - Mhow Naka,22.69,75.87,2025-11-28 21:46:04,4,58.48,62.81,293.8,1.92,3.62,94.03,Live
Bhopal - MP Nagar,23.238,77.4125,2025-11-28 21:46:04,4,72.79,78.14,335.26,2.04,2.61,75.03,Live
Bhopal - Habibganj,23.26,77.398,2025-11-28 21:46:04,4,70.23,75.68,339.89,2.32,2.46,70.93,Live
Bhopal - Arera Hills,23.251,77.412,2025-11-28 21:46:04,4,72.79,78.14,335.26,2.04,2.61,75.03,Live
Bhopal - Ayodhya Bypass,23.267,77.435,2025-11-28 21:46:04,4,72.79,78.14,335.26,2.04,2.61,75.03,Live
Bhopal - Lalghati,23.285,77.383,2025-11-28 21:46:04,4,70.23,75.68,339.89,2.32,2.46,70.93,Live
Bhopal - Kolar Road,23.2,77.43,2025-11-28 21:46:04,4,72.79,78.14,335.26,2.04,2.61,75.03,Live
Bhopal - Bairagarh,23.29,77.36,2025-11-28 21:46:04,4,70.23,75.68,339.89,2.32,2.46,70.93,Live
Bhopal - Govindpura Industrial,23.26,77.47,2025-11-28 21:46:04,4,72.79,78.14,335.26,2.04,2.61,75.03,Live
Bhopal - Misrod,23.2,77.49,2025-11-28 21:46:04,4,72.79,78.14,335.26,2.04,2.61,75.03,Live
Bhopal - BHEL Area,23.27,77.49,2025-11-28 21:46:04,4,72.79,78.14,335.26,2.04,2.61,75.03,Live
Bhopal - Shahpura,23.21,77.43,2025-11-28 21:46:04,4,72.79,78.14,335.26,2.04,2.61,75.03,Live
Bhopal - Piplani,23.25,77.48,2025-11-28 21:46:04,4,72.79,78.14,335.26,2.04,2.61,75.03,Live
