city,latitude,longitude,timestamp,currentSpeed,currentFlow,vehicleCount,linkId,Source
Indore,22.7196,75.8577,2025-12-14 12:58:55.839654,15,,,,
Dewas,22.9676,76.0534,2025-12-14 12:58:56.548303,31,,,,
Ujjain,23.1765,75.7885,2025-12-14 12:58:57.151373,27,,,,
Bhopal,23.2599,77.4126,2025-12-14 12:58:57.737491,22,,,,
Indore,22.7196,75.8577,2025-12-14 12:59:58.531644,14,,,,
Dewas,22.9676,76.0534,2025-12-14 12:59:59.188783,30,,,,
Ujjain,23.1765,75.7885,2025-12-14 12:59:59.878200,27,,,,
Bhopal,23.2599,77.4126,2025-12-14 13:00:00.521295,22,,,,
Indore,22.7196,75.8577,2025-12-14 13:01:01.491840,14,,,,
Dewas,22.9676,76.0534,2025-12-14 13:01:02.229897,30,,,,
Ujjain,23.1765,75.7885,2025-12-14 13:01:02.862652,27,,,,
Bhopal,23.2599,77.4126,2025-12-14 13:01:03.662118,22,,,,
Indore,22.7196,75.8577,2025-12-14 13:02:05.591684,14,,,,
Dewas,22.9676,76.0534,2025-12-14 13:02:06.823601,30,,,,
Ujjain,23.1765,75.7885,2025-12-14 13:02:08.931653,27,,,,
Bhopal,23.2599,77.4126,2025-12-14 13:02:09.918886,22,,,,
Indore,22.7196,75.8577,2025-12-14 13:03:10.859891,14,,,,
Dewas,22.9676,76.0534,2025-12-14 13:03:13.179901,30,,,,
Ujjain,23.1765,75.7885,2025-12-14 13:03:14.546671,27,,,,
Bhopal,23.2599,77.4126,2025-12-14 13:03:15.272482,22,,,,
Indore,22.7196,75.8577,2025-12-14 13:04:16.153504,16,,,,
Dewas,22.9676,76.0534,2025-12-14 13:04:17.030900,30,,,,
Ujjain,23.1765,75.7885,2025-12-14 13:04:17.665849,27,,,,
Bhopal,23.2599,77.4126,2025-12-14 13:04:18.430368,22,,,,
Indore,22.7196,75.8577,2025-12-14 13:05:19.239522,22,,,,
Dewas,22.9676,76.0534,2025-12-14 13:05:19.949871,30,,,,
Ujjain,23.1765,75.7885,2025-12-14 13:05:20.607752,27,,,,
Bhopal,23.2599,77.4126,2025-12-14 13:05:21.471935,22,,,,
Indore,22.7196,75.8577,2025-12-14 13:06:22.584750,16,,,,
Dewas,22.9676,76.0534,2025-12-14 13:06:23.398682,30,,,,
Ujjain,23.1765,75.7885,2025-12-14 13:06:24.213234,27,,,,
Bhopal,23.2599,77.4126,2025-12-14 13:06:24.819297,22,,,,
Indore,22.7196,75.8577,2025-12-14 13:07:25.805302,15,,,,
Dewas,22.9676,76.0534,2025-12-14 13:07:26.637420,30,,,,
Ujjain,23.1765,75.7885,2025-12-14 13:07:27.457927,27,,,,
Bhopal,23.2599,77.4126,2025-12-14 13:07:28.366711,22,,,,
Indore,22.7196,75.8577,2025-12-14 13:08:29.100233,17,,,,
Dewas,22.9676,76.0534,2025-12-14 13:08:29.795364,30,,,,
Ujjain,23.1765,75.7885,2025-12-14 13:08:30.577733,27,,,,
Bhopal,23.2599,77.4126,2025-12-14 13:08:31.277266,22,,,,
