City,Latitude,Longitude,Timestamp,Temperature (°C),Humidity (%),Pressure (hPa),Wind Speed (m/s),Wind Direction (°),Cloudiness (%),Visibility (m),Source
Indore,22.7196,75.8577,2025-11-23 00:00:00,16.8,68,1016.0,6.8,92,8,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 01:00:00,16.6,70,1017.0,6.9,84,9,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 02:00:00,16.9,69,1017.6,8.6,67,88,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 03:00:00,19.4,61,1018.0,6.3,59,100,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 04:00:00,22.7,51,1018.4,5.1,73,99,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 05:00:00,25.4,41,1017.9,6.0,87,98,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 06:00:00,26.5,40,1017.1,4.8,117,100,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 07:00:00,27.3,40,1016.2,3.1,140,100,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 08:00:00,28.2,40,1014.9,4.7,223,99,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 09:00:00,28.7,38,1013.8,6.6,237,95,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 10:00:00,28.5,37,1013.3,5.2,250,100,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 11:00:00,28.0,39,1013.2,3.2,254,17,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 12:00:00,26.7,41,1013.9,1.7,77,9,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 13:00:00,25.0,46,1014.6,4.0,98,23,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 14:00:00,23.9,52,1015.3,3.1,90,63,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 15:00:00,23.3,54,1015.8,4.8,65,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 16:00:00,22.0,59,1016.0,7.4,56,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 17:00:00,21.1,62,1016.3,8.3,66,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 18:00:00,20.6,64,1016.2,9.6,85,0,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 19:00:00,19.9,66,1016.1,8.8,101,3,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 20:00:00,19.6,67,1016.1,8.4,100,2,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 21:00:00,19.4,68,1015.7,8.3,96,13,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 22:00:00,19.0,69,1015.7,8.3,85,5,,Open-Meteo
Indore,22.7196,75.8577,2025-11-23 23:00:00,18.7,69,1015.9,8.5,77,31,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 00:00:00,18.4,70,1016.2,9.0,80,91,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 01:00:00,18.0,72,1016.9,8.7,83,7,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 02:00:00,18.3,72,1017.7,9.1,76,13,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 03:00:00,20.4,64,1018.2,6.9,67,9,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 04:00:00,23.4,53,1018.4,6.7,81,5,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 05:00:00,25.9,47,1017.9,7.9,102,5,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 06:00:00,26.9,48,1017.1,5.8,158,45,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 07:00:00,27.6,46,1016.1,5.6,211,25,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 08:00:00,28.1,44,1015.1,6.2,226,26,,Open-Meteo
Indore,22.7196,75.8577,2025-11-24 09:00:00,28.0,44,1014.3,6.2,240,27,,Open-Meteo
