Station,Latitude,Longitude,Timestamp,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3,AQI,Source
Indore - MG Road,22.718,75.847,2025-10-25 08:00:00,221.29,0.24,1.62,66.37,2.98,9.9,10.53,0.05,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-25 09:00:00,220.63,0.18,1.29,69.56,2.46,8.72,9.21,0.06,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-25 10:00:00,225.66,0.16,1.5,70.98,2.53,8.8,9.3,0.17,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-25 11:00:00,234.43,0.12,2.17,69.63,2.63,9.42,10.03,0.32,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-25 12:00:00,243.08,0.03,2.95,66.55,2.45,9.6,10.29,0.36,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-25 13:00:00,248.27,0.0,3.33,62.4,2.25,9.73,10.5,0.39,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-25 14:00:00,254.54,0.0,3.43,59.42,2.23,10.15,11.04,0.4,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-25 15:00:00,259.65,0.0,3.6,57.02,2.49,10.83,11.76,0.38,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-25 16:00:00,262.74,0.0,3.89,55.0,2.9,11.64,12.51,0.34,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-25 17:00:00,267.35,0.0,4.17,53.88,3.18,12.52,13.32,0.31,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-25 18:00:00,270.96,0.0,4.3,52.83,3.3,13.21,13.87,0.27,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-25 19:00:00,272.09,0.0,4.33,51.22,3.22,13.68,14.18,0.24,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-25 20:00:00,273.79,0.0,4.29,48.85,3.09,13.88,14.31,0.24,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-25 21:00:00,274.47,0.0,4.2,46.27,2.91,13.67,14.04,0.23,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-25 22:00:00,273.48,0.0,4.18,43.81,2.73,13.02,13.35,0.23,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-25 23:00:00,273.86,0.0,4.18,41.27,2.53,12.38,12.7,0.25,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-26 00:00:00,274.91,0.0,4.24,38.76,2.38,11.8,12.15,0.27,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-26 01:00:00,276.65,0.0,4.41,35.97,2.32,11.18,11.62,0.31,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-26 02:00:00,281.43,0.0,4.76,32.84,2.3,10.53,11.16,0.34,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-26 03:00:00,286.22,0.08,5.09,30.01,2.32,9.91,10.66,0.35,1,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-26 04:00:00,289.04,0.27,5.06,28.24,2.38,9.5,10.35,0.36,1,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-26 05:00:00,291.57,0.46,4.79,28.26,2.48,9.51,10.45,0.38,1,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-26 06:00:00,292.41,0.61,4.43,31.04,2.6,9.99,10.96,0.39,1,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-26 07:00:00,290.51,0.47,4.37,36.76,2.65,10.59,11.54,0.41,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-26 08:00:00,285.2,0.32,4.26,40.08,2.49,10.76,11.7,0.44,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-26 09:00:00,280.59,0.23,4.15,41.69,2.3,10.9,11.83,0.5,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-26 10:00:00,280.68,0.17,4.14,42.05,2.06,11.65,12.66,0.58,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-26 11:00:00,281.11,0.1,4.34,41.38,1.96,12.53,13.62,0.61,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-26 12:00:00,279.86,0.03,4.75,41.14,2.04,13.05,14.19,0.61,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-26 13:00:00,279.2,0.0,4.97,41.27,2.26,13.29,14.42,0.58,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-26 14:00:00,280.48,0.0,4.88,41.03,2.22,13.28,14.45,0.53,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-26 15:00:00,281.76,0.0,4.67,40.79,2.12,12.83,14.05,0.48,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-26 16:00:00,279.47,0.0,4.49,40.53,2.12,11.95,13.11,0.43,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-26 17:00:00,280.71,0.0,4.59,40.23,2.36,11.4,12.54,0.42,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-26 18:00:00,283.65,0.0,4.77,39.18,2.62,11.37,12.39,0.4,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-26 19:00:00,284.41,0.0,4.83,37.34,2.63,11.66,12.51,0.38,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-26 20:00:00,286.72,0.0,4.69,35.4,2.47,12.37,13.14,0.38,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-26 21:00:00,289.37,0.0,4.47,33.84,2.33,13.61,14.31,0.37,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-26 22:00:00,290.72,0.0,4.29,33.22,2.14,15.52,16.23,0.35,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-26 23:00:00,291.45,0.0,4.21,33.55,2.26,17.84,18.62,0.3,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-27 00:00:00,292.86,0.0,4.23,34.36,2.59,20.34,21.25,0.23,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-27 01:00:00,293.88,0.0,4.39,35.33,3.04,22.65,23.75,0.18,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-27 02:00:00,297.87,0.06,4.74,35.5,3.47,24.35,25.79,0.22,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-27 03:00:00,298.82,0.6,4.56,39.09,4.21,24.91,26.61,0.23,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-27 04:00:00,288.84,0.97,4.34,50.38,6.04,23.34,25.04,0.15,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-27 05:00:00,281.45,0.85,4.14,60.96,7.18,22.71,24.37,0.13,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-27 06:00:00,275.11,0.62,3.75,69.89,7.59,22.08,23.64,0.1,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-27 07:00:00,252.85,0.34,2.82,76.78,5.95,15.44,16.48,0.09,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-27 08:00:00,238.15,0.2,2.55,75.28,4.72,10.44,11.21,0.19,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-27 09:00:00,232.27,0.1,2.95,70.94,4.45,7.41,8.08,0.27,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-27 10:00:00,236.59,0.03,3.8,63.59,4.41,6.19,7.06,0.52,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-27 11:00:00,251.33,0.03,5.14,57.03,4.5,6.68,8.04,0.84,1,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-27 12:00:00,269.64,0.01,6.93,53.59,4.96,7.68,9.65,1.26,1,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-27 13:00:00,292.46,0.0,8.66,49.6,6.12,8.84,11.66,2.14,1,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-27 14:00:00,319.4,0.0,9.55,45.12,7.17,10.3,14.24,2.9,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-27 15:00:00,340.13,0.0,9.59,42.09,7.84,11.67,16.41,3.39,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-27 16:00:00,347.27,0.0,8.89,38.84,7.52,12.61,17.14,3.45,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-27 17:00:00,354.74,0.0,7.98,34.6,6.34,13.53,17.75,2.93,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-27 18:00:00,356.45,0.0,7.1,30.28,5.16,14.03,17.87,2.24,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-27 19:00:00,348.11,0.0,6.07,27.14,4.16,14.05,17.22,1.66,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-27 20:00:00,337.83,0.0,4.95,26.45,3.51,14.05,16.53,1.25,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-27 21:00:00,320.75,0.0,3.86,29.74,3.1,13.97,15.63,0.9,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-27 22:00:00,293.04,0.0,2.85,38.58,2.6,14.18,15.27,0.53,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-27 23:00:00,284.24,0.0,2.47,39.21,2.11,14.74,15.68,0.54,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-28 00:00:00,284.24,0.0,2.39,36.58,1.87,15.44,16.38,0.62,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-28 01:00:00,291.07,0.0,2.61,32.64,1.49,16.32,17.58,0.71,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-28 02:00:00,302.3,0.01,3.3,29.24,1.35,17.59,19.69,0.68,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-28 03:00:00,310.79,0.18,3.95,28.69,1.47,19.09,21.93,0.69,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-28 04:00:00,284.58,0.4,4.23,40.69,3.24,21.6,24.18,0.13,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-28 05:00:00,279.67,0.77,4.48,46.4,4.77,24.08,26.69,0.05,2,OpenWeatherMap-History
Indore - MG Road,22.718,75.847,2025-10-28 06:00:00,273.8,0.92,4.43,56.67,6.55,27.76,30.43,0.01,3,OpenWeatherMap-History
