city,latitude,longitude,timestamp,temperature_°c,humidity_%,pressure_hpa,wind_speed_m/s,wind_direction_°,cloudiness_%,visibility_m,source
Indore,22.7196,75.8577,2025-11-09 00:00:00,13.6,65,1015.8,5.1,63,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-09 01:00:00,13.5,63,1016.4,4.9,62,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-09 02:00:00,15.2,56,1017.2,5.6,65,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-09 03:00:00,18.0,48,1017.7,4.4,60,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-09 04:00:00,21.3,35,1018.1,4.3,57,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-09 05:00:00,23.2,26,1017.7,6.6,53,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-09 06:00:00,24.9,22,1016.2,7.9,47,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-09 07:00:00,26.2,20,1015.1,7.5,44,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-09 08:00:00,26.7,19,1014.1,7.4,39,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-09 09:00:00,26.8,20,1013.3,7.7,33,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-09 10:00:00,26.5,21,1012.9,8.5,28,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-09 11:00:00,25.7,23,1012.9,9.0,26,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-09 12:00:00,24.1,30,1013.3,8.3,39,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-09 13:00:00,22.3,37,1013.5,8.8,44,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-09 14:00:00,21.0,41,1014.3,8.5,48,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-09 15:00:00,20.4,43,1014.8,7.7,49,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-09 16:00:00,19.8,43,1015.0,6.1,66,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-09 17:00:00,19.0,46,1015.1,5.0,75,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-09 18:00:00,18.8,46,1014.8,5.8,97,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-09 19:00:00,17.5,49,1014.2,5.8,90,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-09 20:00:00,16.9,51,1014.0,6.6,77,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-09 21:00:00,15.6,58,1013.7,5.0,75,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-09 22:00:00,15.0,61,1013.9,4.3,105,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-09 23:00:00,14.7,64,1014.0,3.8,101,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-10 00:00:00,14.9,64,1014.3,4.0,60,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-10 01:00:00,14.5,64,1015.0,3.8,73,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-10 02:00:00,15.8,58,1015.8,5.0,92,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-10 03:00:00,18.9,49,1016.7,4.6,121,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-10 04:00:00,22.5,36,1017.1,4.1,131,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-10 05:00:00,24.3,26,1016.9,4.0,126,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-10 06:00:00,25.2,24,1015.9,3.5,168,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-10 07:00:00,26.3,24,1014.7,3.5,189,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-10 08:00:00,26.7,24,1013.9,3.6,213,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-10 09:00:00,26.8,24,1013.0,3.5,242,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-10 10:00:00,26.6,24,1012.8,3.6,273,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-10 11:00:00,26.1,24,1012.9,4.0,288,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-10 12:00:00,24.7,28,1013.3,4.1,326,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-10 13:00:00,22.5,39,1013.6,3.2,16,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-10 14:00:00,21.1,42,1014.3,3.6,57,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-10 15:00:00,20.0,49,1014.9,2.9,86,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-10 16:00:00,19.4,50,1015.2,1.3,56,0,10000.0,Open-Meteo
Indore,22.7196,75.8577,2025-11-10 17:00:00,18.6,51,1015.3,3.0,107,0,10000.0,Open-Meteo
