city,latitude,longitude,timestamp,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
Indore,22.7196,75.8577,2025-11-14 14:47:49.574635,15,21,193,138,1.0,False
Dewas,22.9676,76.0534,2025-11-14 14:47:50.207979,35,44,987,785,0.911028,False
Ujjain,23.1765,75.7885,2025-11-14 14:47:50.813987,27,27,283,283,1.0,False
Bhopal,23.2599,77.4126,2025-11-14 14:47:51.409192,18,21,546,468,0.801735,False
Indore,22.7196,75.8577,2025-11-14 14:48:22.051187,15,22,193,131,1.0,False
Dewas,22.9676,76.0534,2025-11-14 14:48:22.655424,35,44,987,785,0.912396,False
Ujjain,23.1765,75.7885,2025-11-14 14:48:23.267054,27,27,283,283,1.0,False
Bhopal,23.2599,77.4126,2025-11-14 14:48:23.871908,18,21,546,468,0.801735,False
Indore,22.7196,75.8577,2025-11-14 14:48:54.484127,11,22,263,131,1.0,False
Dewas,22.9676,76.0534,2025-11-14 14:48:55.119006,35,44,987,785,0.915522,False
Ujjain,23.1765,75.7885,2025-11-14 14:48:55.737782,27,27,283,283,1.0,False
Bhopal,23.2599,77.4126,2025-11-14 14:48:56.349125,18,21,546,468,0.80448,False
Indore,22.7196,75.8577,2025-11-14 14:49:26.970250,11,22,263,131,1.0,False
Dewas,22.9676,76.0534,2025-11-14 14:49:27.579582,35,44,987,785,0.915522,False
Ujjain,23.1765,75.7885,2025-11-14 14:49:28.209872,27,27,283,283,1.0,False
Bhopal,23.2599,77.4126,2025-11-14 14:49:28.801870,18,21,546,468,0.80448,False
Indore,22.7196,75.8577,2025-11-14 14:49:59.413638,11,22,263,131,1.0,False
Dewas,22.9676,76.0534,2025-11-14 14:50:00.015054,35,44,987,785,0.911879,False
Ujjain,23.1765,75.7885,2025-11-14 14:50:00.654003,27,27,283,283,1.0,False
Bhopal,23.2599,77.4126,2025-11-14 14:50:01.282223,18,22,546,447,0.793092,False
Indore,22.7196,75.8577,2025-11-14 14:50:31.904187,14,22,207,131,1.0,False
Dewas,22.9676,76.0534,2025-11-14 14:50:32.518200,35,44,987,785,0.907418,False
Ujjain,23.1765,75.7885,2025-11-14 14:50:33.136079,27,27,283,283,1.0,False
Bhopal,23.2599,77.4126,2025-11-14 14:50:33.731144,18,22,546,447,0.78382,False
Indore,22.7196,75.8577,2025-11-14 14:51:04.348956,13,22,222,131,1.0,False
Dewas,22.9676,76.0534,2025-11-14 14:51:04.968708,35,43,987,804,0.911895,False
Ujjain,23.1765,75.7885,2025-11-14 14:51:05.580483,27,27,283,283,1.0,False
Bhopal,23.2599,77.4126,2025-11-14 14:51:06.198501,18,22,546,447,0.78382,False
Indore,22.7196,75.8577,2025-11-14 14:51:36.830323,13,22,222,131,1.0,False
Dewas,22.9676,76.0534,2025-11-14 14:51:37.448907,35,44,987,785,0.944642,False
Ujjain,23.1765,75.7885,2025-11-14 14:51:38.057752,27,27,283,283,1.0,False
Bhopal,23.2599,77.4126,2025-11-14 14:51:38.650191,18,21,546,468,0.792569,False
Indore,22.7196,75.8577,2025-11-14 14:52:09.279062,13,22,222,131,1.0,False
Dewas,22.9676,76.0534,2025-11-14 14:52:09.884248,35,44,987,785,0.944642,False
Ujjain,23.1765,75.7885,2025-11-14 14:52:10.506931,27,27,283,283,1.0,False
Bhopal,23.2599,77.4126,2025-11-14 14:52:11.207222,18,21,546,468,0.792569,False
Indore,22.7196,75.8577,2025-11-14 14:52:41.829444,14,21,207,138,1.0,False
Dewas,22.9676,76.0534,2025-11-14 14:52:42.455203,35,44,987,785,0.945846,False
Ujjain,23.1765,75.7885,2025-11-14 14:52:43.069226,27,27,283,283,1.0,False
Bhopal,23.2599,77.4126,2025-11-14 14:52:43.679915,18,21,546,468,0.786606,False
Indore,22.7196,75.8577,2025-11-14 14:53:14.306978,11,22,263,131,1.0,False
Dewas,22.9676,76.0534,2025-11-14 14:53:14.915286,35,43,987,804,0.951891,False
Ujjain,23.1765,75.7885,2025-11-14 14:53:15.530297,27,27,283,283,1.0,False
Bhopal,23.2599,77.4126,2025-11-14 14:53:16.141712,18,21,546,468,0.782064,False
Indore,22.7196,75.8577,2025-11-14 14:53:46.784606,11,22,263,131,1.0,False
Dewas,22.9676,76.0534,2025-11-14 14:53:47.407854,35,43,987,804,0.951891,False
Ujjain,23.1765,75.7885,2025-11-14 14:53:48.011530,27,27,283,283,1.0,False
Bhopal,23.2599,77.4126,2025-11-14 14:53:48.607846,18,21,546,468,0.782064,False
Indore,22.7196,75.8577,2025-11-14 14:54:19.235045,11,22,263,131,1.0,False
Dewas,22.9676,76.0534,2025-11-14 14:54:19.859386,35,43,987,804,0.952133,False
Ujjain,23.1765,75.7885,2025-11-14 14:54:20.490350,27,27,283,283,1.0,False
Bhopal,23.2599,77.4126,2025-11-14 14:54:21.115429,19,22,517,447,0.777803,False
Indore,22.7196,75.8577,2025-11-14 14:54:51.737167,9,21,322,138,1.0,False
Dewas,22.9676,76.0534,2025-11-14 14:54:52.360787,35,43,987,804,0.94589,False
Ujjain,23.1765,75.7885,2025-11-14 14:54:52.955329,27,27,283,283,1.0,False
Bhopal,23.2599,77.4126,2025-11-14 14:54:53.555268,18,21,546,468,0.779224,False
Indore,22.7196,75.8577,2025-11-14 14:55:24.198604,10,22,289,131,1.0,False
Dewas,22.9676,76.0534,2025-11-14 14:55:24.811485,35,43,987,804,0.950874,False
