City,Latitude,Longitude,Timestamp,Temperature (°C),Feels Like (°C),Humidity (%),Pressure (hPa),Wind Speed (m/s),Wind Direction (°),Cloudiness (%),Visibility (km),Conditions,Source,Visibility (m)
Indore,22.7196,75.8577,2025-10-09 00:00:00,21.0,21.0,82.98,1016.0,0.0,0.0,50.0,3.0,Partially cloudy,VisualCrossing,
Indore,22.7196,75.8577,2025-10-09 01:00:00,20.0,20.0,82.87,1016.0,0.0,0.0,50.0,3.0,Partially cloudy,VisualCrossing,
Indore,22.7196,75.8577,2025-10-09 02:00:00,21.0,21.0,77.91,1016.0,0.0,0.0,50.0,3.0,Partially cloudy,VisualCrossing,
Indore,22.7196,75.8577,2025-10-09 03:00:00,21.0,21.0,77.91,1016.0,7.6,30.0,50.0,3.0,Partially cloudy,VisualCrossing,
Indore,22.7196,75.8577,2025-10-09 04:00:00,21.0,21.0,77.91,1016.0,9.4,40.0,50.0,3.0,Partially cloudy,VisualCrossing,
Indore,22.7196,75.8577,2025-10-09 05:00:00,20.0,20.0,82.87,1016.0,5.4,50.0,50.0,3.0,Partially cloudy,VisualCrossing,
Indore,22.7196,75.8577,2025-10-09 06:00:00,20.0,20.0,82.87,1016.0,7.6,50.0,50.0,3.0,Partially cloudy,VisualCrossing,
Indore,22.7196,75.8577,2025-10-09 07:00:00,22.0,22.0,78.06,1017.0,7.6,50.0,50.0,3.0,Partially cloudy,VisualCrossing,
Indore,22.7196,75.8577,2025-10-09 08:00:00,24.0,24.0,69.15,1017.0,11.2,50.0,50.0,4.0,Partially cloudy,VisualCrossing,
Indore,22.7196,75.8577,2025-10-09 09:00:00,25.0,25.0,65.13,1018.0,9.4,40.0,50.0,4.0,Partially cloudy,VisualCrossing,
Indore,22.7196,75.8577,2025-10-09 10:00:00,27.0,27.2,47.81,1018.0,9.4,50.0,50.0,4.0,Partially cloudy,VisualCrossing,
Indore,22.7196,75.8577,2025-10-09 11:00:00,28.0,28.0,45.09,1017.0,7.6,20.0,50.0,4.0,Partially cloudy,VisualCrossing,
Indore,22.7196,75.8577,2025-10-09 12:00:00,29.0,28.8,42.54,1016.0,9.4,30.0,0.0,4.0,Clear,VisualCrossing,
Indore,22.7196,75.8577,2025-10-09 13:00:00,29.0,28.5,39.88,1015.0,0.0,0.0,0.0,4.0,Clear,VisualCrossing,
Indore,22.7196,75.8577,2025-10-09 14:00:00,30.0,29.1,35.27,1014.0,5.4,90.0,25.0,5.0,Partially cloudy,VisualCrossing,
Indore,22.7196,75.8577,2025-10-09 15:00:00,29.0,28.3,37.37,1014.0,7.6,340.0,25.0,5.0,Partially cloudy,VisualCrossing,
Indore,22.7196,75.8577,2025-10-09 16:00:00,29.0,28.3,37.37,1014.0,13.0,280.0,25.0,5.0,Partially cloudy,VisualCrossing,
Indore,22.7196,75.8577,2025-10-09 17:00:00,27.0,27.1,44.82,1014.0,5.4,290.0,50.0,5.0,Partially cloudy,VisualCrossing,
Indore,22.7196,75.8577,2025-10-09 18:00:00,25.0,25.0,44.27,1014.0,5.4,20.0,50.0,4.0,Partially cloudy,VisualCrossing,
Indore,22.7196,75.8577,2025-10-09 19:00:00,25.0,25.0,41.43,1015.0,5.4,30.0,50.0,3.0,Partially cloudy,VisualCrossing,
Indore,22.7196,75.8577,2025-10-09 20:00:00,23.0,23.0,49.92,1016.0,7.6,50.0,50.0,3.0,Partially cloudy,VisualCrossing,
Indore,22.7196,75.8577,2025-10-09 21:00:00,22.0,22.0,49.65,1016.0,7.6,60.0,50.0,3.0,Partially cloudy,VisualCrossing,
Indore,22.7196,75.8577,2025-10-09 22:00:00,21.0,21.0,52.79,1016.0,9.4,70.0,25.0,3.0,Partially cloudy,VisualCrossing,
Indore,22.7196,75.8577,2025-10-09 23:00:00,21.0,21.0,56.4,1016.0,9.4,50.0,0.0,3.0,Clear,VisualCrossing,
Indore,22.7196,75.8577,2025-10-10 00:00:00,19.4,19.4,67.36,1015.0,5.8,49.6,0.0,24.1,Clear,VisualCrossing,
Indore,22.7196,75.8577,2025-10-10 01:00:00,19.0,19.0,68.17,1014.0,5.0,35.4,0.0,24.1,Clear,VisualCrossing,
Indore,22.7196,75.8577,2025-10-10 02:00:00,17.0,17.0,77.3,1015.0,0.0,0.0,0.0,3.0,Clear,VisualCrossing,
Indore,22.7196,75.8577,2025-10-10 03:00:00,18.3,18.3,68.92,1013.0,4.3,2.1,0.0,24.1,Clear,VisualCrossing,
Indore,22.7196,75.8577,2025-10-10 04:00:00,18.0,18.0,68.86,1013.0,5.0,5.1,0.0,24.1,Clear,VisualCrossing,
Indore,22.7196,75.8577,2025-10-10 05:00:00,16.0,16.0,82.38,1015.0,0.0,0.0,0.0,3.0,Clear,VisualCrossing,
Indore,22.7196,75.8577,2025-10-10 06:00:00,16.0,16.0,82.38,1016.0,0.0,0.0,0.0,3.0,Clear,VisualCrossing,
Indore,22.7196,75.8577,2025-10-10 07:00:00,20.0,20.0,82.87,1016.0,5.4,70.0,0.0,3.0,Clear,VisualCrossing,
Indore,22.7196,75.8577,2025-10-10 08:00:00,23.0,23.0,68.96,1017.0,5.4,50.0,0.0,3.0,Clear,VisualCrossing,
Indore,22.7196,75.8577,2025-10-10 09:00:00,25.0,25.0,61.15,1017.0,9.4,60.0,0.0,4.0,Clear,VisualCrossing,
Indore,22.7196,75.8577,2025-10-10 10:00:00,26.0,26.0,50.71,1017.0,11.2,30.0,0.0,4.0,Clear,VisualCrossing,
